objectid,originalid,projectcode,stationcode,stationdesc,sampledate,evaluator,determination,determinationcomments,channeltype,structurewidth,structureshape,structureshapecomments,rightsideofstructure,rightvegetation,rightsidecomments,leftsideofstructure,leftvegetation,leftsidecomments,bottom,bottomcomments,vegetation,lowflowpresence,lowflowwidth,gradecontrolpresence,gradecontrollocation,gradecontrolcomments,channelmodcomments,lastchangedate,latitude,longitude,record_timestamp,app_timestamp,sitetype,novelsite,record_origin,origin_lastupdatedate,record_publish,globalid,created_user,created_date,last_edited_user,last_edited_date,login_agency,login_email,login_owner,login_year,login_project,ceden_publish,masterid,huc,county,smcshed,comid,channel_engineering_class
154,NA,SMC_LARWMP,412LARTJA,NA,1/1/1950,B.Jones,Site visit,Review of historic data,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{4B504B11-BBED-48E0-95DF-C6BFD654A2AC},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC00756,412,Los Angeles,Los Angeles,22514962,HB
1424,142,SMC_LARWMP_2015,412M08597,NA,7/16/2015,Karin Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,11/13/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{BE84B53F-D9E7-4F61-89AC-16AF072EDA54},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08597,412,Los Angeles,Los Angeles,22515812,HB
155,136,SMC_LARWMP_2015,412M08599,NA,9/30/2015,Wendy Willis,Site visit,NA,Engineered,50 to 100 m,Trapezoidal,NA,Concrete,Yes,NA,Concrete,No,NA,Rock,NA,No,Absent,NA,Absent,NA,NA,NA,11/13/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{B0059A9F-342B-41D6-A718-A156BFF7DB78},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08599,412,Los Angeles,Los Angeles,22515824,SB2
1425,2,SMC_LARWMP_2018,412M08599,NA,6/20/2018,Brianna Jones,Site visit,NA,Engineered,10 to 50 m,Other,"half natural, half trapezoidal",Concrete,NR,NA,Earthen,NR,NA,Other,concrete and natural,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,4/5/2019 6:24,TRUE,{780A2921-8835-40CB-B42F-AA1D04DE3731},checker,4/5/2019 6:24,checker,4/5/2019 6:24,ABCL,jeffb@sccwrp.org,LARWMP,2018,SMC,NA,412M08599,412,Los Angeles,Los Angeles,22515824,SB2
156,135,SMC_LARWMP_2015,412M08602,NA,9/30/2015,Wendy Willis,Site visit,NA,Engineered,100+ m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,NA,Absent,NA,NA,NA,11/13/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{F5D7D276-AB67-4441-A942-43961150F57E},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08602,412,Los Angeles,Los Angeles,22518268,HB
1426,NA,NA,412M08608,NA,6/2/2016,Karin Wisenbaker,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Present,Within reach,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1BC55951-5908-4E2E-860B-5D1C43E26595},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08608,412,Los Angeles,Los Angeles,22515806,NAT
157,NA,NA,412M08610,NA,7/14/2016,Brianna Jones,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Present,Within 10 m downstream,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{FFC308DA-A710-40B1-A617-165154C8E34F},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08610,412,Los Angeles,Los Angeles,22514858,NAT
1427,NA,NA,412M08615,NA,7/6/2016,Karin Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Present,1 to 5 m,Absent,NA,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1F1A9579-B217-46E1-9571-31A0A817C327},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08615,412,Los Angeles,Los Angeles,22514972,HB
158,NA,NA,412M08616,NA,6/2/2016,Karin Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{E0F5496C-A5CF-498F-9826-389453E5D614},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08616,412,Los Angeles,Los Angeles,22514934,HB
1428,NA,NA,412M08622,NA,6/21/2016,Karin Wisenbaker,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Present,Within 10 m downstream,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{99901563-804F-4D47-ADA7-49EF0BFC4C42},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08622,412,Los Angeles,Los Angeles,22514928,NAT
159,NA,NA,412M08627,NA,5/17/2017,Karin Wisenbaker,Site visit,NA,Engineered,100+ m,Trapezoidal,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Present,NA,Absent,NA,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{A363C0B9-3FB3-4450-90BC-B7F6BEDDCA98},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08627,412,Los Angeles,Los Angeles,22518110,HB
1429,NA,NA,412M08630,NA,5/17/2017,Karin Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{327B3CCC-BD51-4D5C-8754-BF0C2FE1737C},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08630,412,Los Angeles,Los Angeles,22515828,HB
160,NA,NA,412M08632,NA,5/17/2017,Karin Wisenbaker,Site visit,NA,Engineered,5 to 10 m,Rectangular,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{06EBAEE0-5B26-4EF4-99C6-742E787E5FA7},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08632,412,Los Angeles,Los Angeles,22515754,HB
1430,NA,NA,412M08638,NA,8/16/2017,Karin Wisenbaker,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Present,Within 10 m downstream,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{3B7E7351-FB03-4743-B609-A13350B3B3A4},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412M08638,412,Los Angeles,Los Angeles,22514800,NAT
161,3,SMC_LARWMP_2018,412M08640,NA,5/30/2018,Karin Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,NR,NA,Concrete,NR,NA,Concrete,NA,No,Present,1 to 5 m,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,4/5/2019 6:24,TRUE,{C1DD9A3D-ED1C-45CC-9973-EFF7211E8A99},checker,4/5/2019 6:24,checker,4/5/2019 6:24,ABCL,jeffb@sccwrp.org,LARWMP,2018,SMC,NA,412M08640,412,Los Angeles,Los Angeles,22514878,HB
1431,68,SMC_LARWMP_2019,412M08641,NA,7/9/2019,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2019 8:32,TRUE,{C542C729-6A4C-4C55-A178-1164CE6469F2},checker,10/21/2019 8:32,checker,10/21/2019 8:32,ABCL,alexis@aquaticbioassay.com,LARWMP,2019,SMC,NA,412M08641,412,Los Angeles,Los Angeles,22514496,NAT
162,4,SMC_LARWMP_2018,412M08642,NA,6/20/2018,Brianna Jones,Site visit,NA,Engineered,50 to 100 m,Trapezoidal,NA,Concrete,NR,NA,Concrete,NR,NA,Concrete,NA,No,Present,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,4/5/2019 6:24,TRUE,{27B2B9AF-E7C9-4A9C-B725-B8FB03EF2CC4},checker,4/5/2019 6:24,checker,4/5/2019 6:24,ABCL,jeffb@sccwrp.org,LARWMP,2018,SMC,NA,412M08642,412,Los Angeles,Los Angeles,22515036,HB
1432,5,SMC_LARWMP_2018,412M08643,NA,5/23/2018,Brianna Jones,Site visit,NA,Engineered,50 to 100 m,Trapezoidal,NA,Concrete,NR,NA,Concrete,NR,NA,Concrete,NA,No,Present,1 to 5 m,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,4/5/2019 6:24,TRUE,{CCC501B9-E126-46FA-9976-F2BA937C53B9},checker,4/5/2019 6:24,checker,4/5/2019 6:24,ABCL,jeffb@sccwrp.org,LARWMP,2018,SMC,NA,412M08643,412,Los Angeles,Los Angeles,22518274,HB
163,72,SMC_LARWMP_2019,412M08645,NA,7/15/2019,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2019 8:32,TRUE,{3296190D-9BC8-4919-88E8-64AD72A31037},checker,10/21/2019 8:32,checker,10/21/2019 8:32,ABCL,alexis@aquaticbioassay.com,LARWMP,2019,SMC,NA,412M08645,412,Los Angeles,Los Angeles,22515734,NAT
1433,74,SMC_LARWMP_2019,412M08646,NA,7/16/2019,A. Wallengren,Site visit,NA,Engineered,5 to 10 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,1 to 5 m,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2019 8:32,TRUE,{43B0B0DE-7879-4601-A25B-ADD4FDBD0CB0},checker,10/21/2019 8:32,checker,10/21/2019 8:32,ABCL,alexis@aquaticbioassay.com,LARWMP,2019,SMC,NA,412M08646,412,Los Angeles,Los Angeles,22515818,HB
164,73,SMC_LARWMP_2019,412M08647,NA,7/16/2019,A. Wallengren,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2019 8:32,TRUE,{B2AC8F55-DFF0-4672-8ED0-20DA73AD97A4},checker,10/21/2019 8:32,checker,10/21/2019 8:32,ABCL,alexis@aquaticbioassay.com,LARWMP,2019,SMC,NA,412M08647,412,Los Angeles,Los Angeles,22514600,NAT
1434,196,SMC_LARWMP_2020,412M08655,NA,7/28/2020,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/10/2020 8:20,TRUE,{F136E3C0-C5AC-47EF-A23E-8B245F4C0FA7},checker,11/10/2020 8:20,checker,11/10/2020 8:20,ABCL,alexis@aquaticbioassay.com,LARWMP,2020,SMC,NA,412M08655,412,Los Angeles,Los Angeles,22514620,NAT
165,200,SMC_LARWMP_2020,412M08656,NA,7/14/2020,W. Willis,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/10/2020 8:20,TRUE,{0BB78CE5-B7A2-42F5-8304-923033D68F2F},checker,11/10/2020 8:20,checker,11/10/2020 8:20,ABCL,alexis@aquaticbioassay.com,LARWMP,2020,SMC,NA,412M08656,412,Los Angeles,Los Angeles,22515812,HB
1435,198,SMC_LARWMP_2020,412M08658,NA,7/20/2020,K. Wisenbaker,Site visit,NA,Engineered,5 to 10 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,1 to 5 m,Present,Within reach,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/10/2020 8:20,TRUE,{612FC927-DB01-47FD-BFA1-219DEC30445F},checker,11/10/2020 8:20,checker,11/10/2020 8:20,ABCL,alexis@aquaticbioassay.com,LARWMP,2020,SMC,NA,412M08658,412,Los Angeles,Los Angeles,22515822,HB
166,199,SMC_LARWMP_2020,412M08659,NA,7/20/2020,K. Wisenbaker,Site visit,NA,Engineered,50 to 100 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,5+ m,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/10/2020 8:20,TRUE,{FB14EAD1-DF2D-4776-8ADA-8FE306DBED66},checker,11/10/2020 8:20,checker,11/10/2020 8:20,ABCL,alexis@aquaticbioassay.com,LARWMP,2020,SMC,NA,412M08659,412,Los Angeles,Los Angeles,22518268,HB
1436,272,SMC_LARWMP_2021,412M08661,NA,6/7/2021,S. Johnson,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2021 13:25,TRUE,{8A1F31C4-56A8-47A1-B504-9C3CC51EF552},checker,10/21/2021 13:25,checker,10/21/2021 13:25,ABCL,alexis@aquaticbioassay.com,LARWMP,2021,SMC,NA,412M08661,412,Los Angeles,Los Angeles,22515812,HB
167,273,SMC_LARWMP_2021,412M08662,NA,5/22/2021,S. Johnson,Site visit,NA,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2021 13:25,TRUE,{32DEED02-DE68-4BE6-8442-201FA7338C32},checker,10/21/2021 13:25,checker,10/21/2021 13:25,ABCL,alexis@aquaticbioassay.com,LARWMP,2021,SMC,NA,412M08662,412,Los Angeles,Los Angeles,22515014,HB
1437,274,SMC_LARWMP_2021,412M08663,NA,5/22/2021,S. Johnson,Site visit,NA,Engineered,50 to 100 m,Trapezoidal,NA,Earthen,No,NA,Concrete,No,NA,Soft/Natural,NA,No,Absent,5+ m,Present,Within 10 m upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2021 13:25,TRUE,{52BDF5A7-66CC-485B-90E3-9795028CE733},checker,10/21/2021 13:25,checker,10/21/2021 13:25,ABCL,alexis@aquaticbioassay.com,LARWMP,2021,SMC,NA,412M08663,412,Los Angeles,Los Angeles,22515824,SB1
168,275,SMC_LARWMP_2021,412M08672,NA,6/7/2021,S. Johnson,Site visit,NA,Engineered,50 to 100 m,Trapezoidal,NA,Grouted rock,No,NA,Grouted rock,No,NA,Concrete,NA,No,Present,1 to 5 m,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2021 13:25,TRUE,{6AD43449-3D20-4FC0-A24F-DF09826B3BD3},checker,10/21/2021 13:25,checker,10/21/2021 13:25,ABCL,alexis@aquaticbioassay.com,LARWMP,2021,SMC,NA,412M08672,412,Los Angeles,Los Angeles,22514892,HB
1438,351,SMC_LARWMP_2022,412M08683,NA,6/28/2022,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/29/2022 6:46,TRUE,{E13B8181-4B2B-488C-86D4-43596E9AD114},checker,10/29/2022 6:46,checker,10/29/2022 6:46,ABCL,alexis@aquaticbioassay.com,LARWMP,2022,SMC,NA,412M08683,412,Los Angeles,Los Angeles,22515746,NAT
169,355,SMC_LARWMP_2022,412M08686,NA,6/1/2022,K. Wisenbaker,Site visit,NA,Engineered,5 to 10 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,1 to 5 m,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/29/2022 6:46,TRUE,{9457D3D2-D1F5-4DE4-A83C-77543D800C1E},checker,10/29/2022 6:46,checker,10/29/2022 6:46,ABCL,alexis@aquaticbioassay.com,LARWMP,2022,SMC,NA,412M08686,412,Los Angeles,Los Angeles,22515822,HB
1440,NA,NA,412PS0020,NA,6/2/2016,Karin Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{CC390B6F-B0B5-4398-B245-058DACF332C9},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412PS0020,412,Los Angeles,Los Angeles,22515828,HB
171,354,SMC_LARWMP_2022,412PS0020,NA,6/1/2022,K. Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/29/2022 6:46,TRUE,{B7E1FE1E-52DB-4D95-8A14-AD1B74462C20},checker,10/29/2022 6:46,checker,10/29/2022 6:46,ABCL,alexis@aquaticbioassay.com,LARWMP,2022,SMC,NA,412PS0020,412,Los Angeles,Los Angeles,22515828,HB
1441,NA,NA,412PS0040,NA,7/14/2016,Brianna Jones,Site visit,NA,Engineered,5 to 10 m,Trapezoidal,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Present,1 to 5 m,Absent,NA,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{61471C8F-B94E-4F87-81A6-14AA37ECD88A},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412PS0040,412,Los Angeles,Los Angeles,22515806,HB
172,356,SMC_LARWMP_2022,412PS0040,NA,6/1/2022,K. Wisenbaker,Site visit,NA,Engineered,5 to 10 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/29/2022 6:46,TRUE,{2A705A17-05E4-4BB2-BE9F-F72BBE02BE16},checker,10/29/2022 6:46,checker,10/29/2022 6:46,ABCL,alexis@aquaticbioassay.com,LARWMP,2022,SMC,NA,412PS0040,412,Los Angeles,Los Angeles,22515806,HB
1442,NA,SMC_LARWMP,412PS0052,NA,1/1/1950,B.Jones,Site visit,Review of historic data,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{DAE34727-FB20-4AD8-9990-30159AC8EA72},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412PS0052,412,Los Angeles,Los Angeles,22514854,HB
173,NA,NA,412PS0052,NA,4/25/2017,Karin Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1871BB3B-5748-4974-8E6D-9B4B55CC2102},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412PS0052,412,Los Angeles,Los Angeles,22514854,HB
174,139,SMC_LARWMP_2015,412WE0552,NA,8/26/2015,Karin Wisenbaker,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Present,Within 10 m upstream,NA,NA,11/13/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{6F675D7B-C70D-4EFB-A10A-FA67D4B4557E},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412WE0552,412,Los Angeles,Los Angeles,22514712,NAT
1444,NA,NA,412WE0552,NA,5/24/2017,Karin Wisenbaker,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{030BC991-4102-4029-8562-A2ED70E1344C},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412WE0552,412,Los Angeles,Los Angeles,22514712,NAT
175,6,SMC_LARWMP_2018,412WE0552,NA,8/15/2018,Karin Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Present,Within 10 m upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,4/5/2019 6:24,TRUE,{2F0C6817-D4E1-42CC-876B-C7095AF3CC27},checker,4/5/2019 6:24,checker,4/5/2019 6:24,ABCL,jeffb@sccwrp.org,LARWMP,2018,SMC,NA,412WE0552,412,Los Angeles,Los Angeles,22514712,NAT
361,NA,NA,SGUR3984,NA,6/29/2017,DO/NC,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,11/10/2017 7:43,NA,exists,FALSE,SMC,1/23/2019,TRUE,{6CA4E1F6-79AE-4BE8-A809-840E9B26EC53},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC03984,405,Los Angeles,San Gabriel,22522803,SB1
1445,75,SMC_LARWMP_2019,412WE0552,NA,7/23/2019,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Present,Within 10 m upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2019 8:32,TRUE,{6A9A0549-8AFB-4B98-8CDB-723F880AE2CB},checker,10/21/2019 8:32,checker,10/21/2019 8:32,ABCL,alexis@aquaticbioassay.com,LARWMP,2019,SMC,NA,412WE0552,412,Los Angeles,Los Angeles,22514712,NAT
176,194,SMC_LARWMP_2020,412WE0552,NA,8/5/2020,K. Wisenbaker,Aerial imagery,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Present,Within 10 m upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/10/2020 8:20,TRUE,{AE777EB1-CF90-4977-AB75-079B0321C1EA},checker,11/10/2020 8:20,checker,11/10/2020 8:20,ABCL,alexis@aquaticbioassay.com,LARWMP,2020,SMC,NA,412WE0552,412,Los Angeles,Los Angeles,22514712,NAT
1446,271,SMC_LARWMP_2021,412WE0552,NA,6/14/2021,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Present,Within 10 m downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2021 13:25,TRUE,{8D14E99B-CFFF-4BEA-891C-56399A65146D},checker,10/21/2021 13:25,checker,10/21/2021 13:25,ABCL,alexis@aquaticbioassay.com,LARWMP,2021,SMC,NA,412WE0552,412,Los Angeles,Los Angeles,22514712,NAT
1447,NA,SMC_LARWMP,412WE0563,NA,1/1/1950,B.Jones,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{7609AB6C-7DED-4CE5-ADF2-41C98E504064},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412WE0563,412,Los Angeles,Los Angeles,22514198,NAT
178,126,SMC_LARWMP_2015,412WE0896,NA,9/2/2015,Karin Wisenbaker,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,10/7/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{ACB2A3AE-E125-450E-8CAA-88B5601B535F},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412WE0896,412,Los Angeles,Los Angeles,22514528,NAT
1448,352,SMC_LARWMP_2022,412WE0896,NA,6/28/2022,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/29/2022 6:46,TRUE,{7943764C-E0F6-4670-9DD0-43AF26189061},checker,10/29/2022 6:46,checker,10/29/2022 6:46,ABCL,alexis@aquaticbioassay.com,LARWMP,2022,SMC,NA,412WE0896,412,Los Angeles,Los Angeles,22514528,NAT
179,NA,RCFC_2013,801AHG857,NA,7/10/2013,Damon Owen,Site visit,Review of historic data,Engineered,100+ m,Trapezoidal,NA,Earthen,Yes,NA,Rock,No,NA,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,NA,34.02,-117.37,NA,NA,new,FALSE,SMC,1/23/2019,TRUE,{0352D7E1-1C27-4423-914A-2ABF77636D49},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801AHG857,801,Riverside,Middle Santa Ana,22556304,SB1
1449,162,SMC_OCPWMU_2015,801M12611,NA,7/1/2015,Karin Wisenbaker,Site visit,NA,Engineered,5 to 10 m,Trapezoidal,NA,Rock,No,NA,Rock,No,NA,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,11/13/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{BFA4FE7D-F4DB-483B-B098-465F79B9DA94},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801M12611,801,Orange,Lower Santa Ana,22560942,SB2
180,165,RWB8_SMC_2015,801M12617,NA,4/30/2015,Marty Lewis,Site visit,NA,Engineered,< 5 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NA,NR,NA,NA,NA,11/13/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{15B24E7E-18BF-4DCF-957F-25CA70D660A8},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801M12617,801,Orange,Lower Santa Ana,20355456,HB
1450,161,SMC_OCPWMU_2015,801M12625,NA,7/1/2015,Karin Wisenbaker,Site visit,NA,Engineered,100+ m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,11/13/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{D90C9F4A-C998-429F-B350-34C4D9413561},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801M12625,801,Orange,Lower Santa Ana,22563212,HB
