"","masterid","latitude","longitude","huc","county","smcshed","csci","sampledate","sampleyear","fieldreplicate","CSCI.Score","Modified.Class","CSCI.Threshold","CSCI.Level","Spring recession magnitude","Spring recession magnitude Stress Level","Dry-season median baseflow","Dry-season median baseflow Stress Level","Fall pulse magnitude","Fall pulse magnitude Stress Level","Wet-season low baseflow","Wet-season low baseflow Stress Level","Wet-season median baseflow","Wet-season median baseflow Stress Level","Magnitude of largest annual storm","Magnitude of largest annual storm Stress Level","2-year flood magnitude","2-year flood magnitude Stress Level","5-year flood magnitude","5-year flood magnitude Stress Level","10-year flood magnitude","10-year flood magnitude Stress Level"
"109","404M07376",34.08222,-118.68792,404,"Los Angeles","Santa Monica Bay",0.96669337,2019-07-09,2019,1,0.96669337,"Natural",0.79,"Healthy Biology",377.478451881452,"Likely Stressed",6.13190501165501,"Likely Stressed",46.9703204638789,"Likely Stressed",7.38383586413586,"Likely Stressed",36.7342737262737,"Likely Stressed",4.25051892285251,"Unlikely Stressed",-253.219788544789,"Likely Stressed",-86.4672123543123,"Likely Stressed",-37.8404761904762,"Likely Stressed"
"110","905M21791",33.12278,-116.78727,905,"San Diego","Central San Diego",0.77581633,2020-05-27,2020,2,0.75737313,"Natural",0.79,"Unhealthy Biology",47.5616716616717,"Likely Stressed",1.53959998334999,"Unlikely Stressed",2.66261981605973,"Unlikely Stressed",-0.759047402597402,"Likely Stressed",-4.99546495171495,"Likely Stressed",-121.232266728982,"Likely Stressed",-164.164258075258,"Likely Stressed",-171.977207326007,"Likely Stressed",-513.503362337661,"Likely Stressed"
"111","SMC01384",34.0646,-118.70091,404,"Los Angeles","Santa Monica Bay",0.84384812,2020-06-29,2020,1,0.84384812,"Natural",0.79,"Healthy Biology",376.167808191809,"Likely Stressed",5.94519821844822,"Likely Stressed",32.1556970745221,"Likely Stressed",15.9404168664668,"Likely Stressed",29.5838857808858,"Likely Stressed",-255.386352034046,"Likely Stressed",-494.781606060606,"Likely Stressed",-567.576056776556,"Likely Stressed",-281.840849084249,"Likely Stressed"
"112","SMC01174",33.01677,-117.01646,905,"San Diego","Central San Diego",0.72977406,2011-07-20,2011,1,0.72977406,"Natural",0.79,"Unhealthy Biology",432.050362137862,"Likely Stressed",9.02237279387279,"Likely Stressed",43.0174048393639,"Likely Stressed",2.7120348984349,"Likely Stressed",46.8116238761239,"Likely Stressed",4.22340190344495,"Unlikely Stressed",-832.970651681651,"Likely Stressed",-503.939247918748,"Likely Stressed",-1277.22682446125,"Likely Stressed"
"113","404M07349",34.07803,-118.70166,404,"Los Angeles","Santa Monica Bay",0.72473013,2015-07-15,2015,1,0.72473013,"Natural",0.79,"Unhealthy Biology",376.167808191809,"Likely Stressed",5.94519821844822,"Likely Stressed",32.1556970745221,"Likely Stressed",15.9404168664668,"Likely Stressed",29.5838857808858,"Likely Stressed",-255.386352034046,"Likely Stressed",-494.781606060606,"Likely Stressed",-567.576056776556,"Likely Stressed",-281.840849084249,"Likely Stressed"
"114","SMC04239",34.3608,-119.31114,402,"Ventura","Ventura",0.79716481,2009-06-11,2009,1,0.79716481,"Natural",0.79,"Healthy Biology",45.4057335997336,"Likely Stressed",0.507085414585415,"Unlikely Stressed",-0.687890097557132,"Unlikely Stressed",-1.15080514485514,"Likely Stressed",-2.27561663336664,"Likely Stressed",-279.938212000324,"Likely Stressed",-511.875061938061,"Likely Stressed",-986.1327007992,"Likely Stressed",-282.242069264069,"Likely Stressed"
"115","SMC00693",33.2964,-117.08556,903,"San Diego","Northern San Diego",0.93094439,2010-05-31,2010,2,0.87183844,"Natural",0.79,"Healthy Biology",100.388672161172,"Likely Stressed",1.60885298035298,"Unlikely Stressed",-7.98120859666042,"Unlikely Stressed",1.79950392940393,"Likely Stressed",6.28431626706626,"Likely Stressed",-61.2921189923341,"Likely Stressed",-174.591982184482,"Likely Stressed",-5.83303929403936,"Likely Stressed",-33.3067625707626,"Likely Stressed"
"116","801M16973",33.93481,-117.34516,801,"Riverside","Middle Santa Ana",0.65900133,2018-06-06,2018,2,0.73132663,"Natural",0.79,"Unhealthy Biology",237.025607059607,"Likely Stressed",1.81701332001332,"Unlikely Stressed",49.4735095575254,"Likely Stressed",13.4550271561772,"Likely Stressed",51.1645007492508,"Likely Stressed",345.042669878639,"Unlikely Stressed",733.462221445219,"Likely Stressed",2037.82541588412,"Likely Stressed",4430.15114841825,"Likely Stressed"
"117","SMC02484",34.1451,-118.36764,412,"Los Angeles","Los Angeles",0.52408964,2013-06-05,2013,1,0.52408964,"Hard Bottom",0.79,"Unhealthy Biology",386.509583416585,"Likely Stressed",52.1415014152515,"Very Likely Stressed",518.269284568263,"Very Likely Stressed",30.0375727938728,"Very Likely Stressed",39.9159075091575,"Likely Stressed",44.2394768575998,"Unlikely Stressed",219.789559107559,"Likely Stressed",343.467655411256,"Likely Stressed",-598.142512387612,"Likely Stressed"
"118","SMC02591",34.51783,-119.37846,402,"Ventura","Ventura",0.89992222,2011-07-21,2011,1,0.89992222,"Natural",0.79,"Healthy Biology",113.943306859807,"Likely Stressed",1.03200882450883,"Unlikely Stressed",23.8605437790959,"Likely Stressed",4.20510880785881,"Likely Stressed",9.77950149850149,"Likely Stressed",-21.8815711289132,"Likely Stressed",-92.5432838827837,"Likely Stressed",174.045840459541,"Unlikely Stressed",223.988348651349,"Likely Stressed"
"119","SMC04661",33.40606,-117.22499,902,"San Diego","Northern San Diego",0.93130374,2014-07-16,2014,1,0.93130374,"Natural",0.79,"Healthy Biology",131.568382783883,"Likely Stressed",3.05704353979353,"Likely Stressed",-22.8340431146744,"Unlikely Stressed",-0.157379287379287,"Unlikely Stressed",-2.38594064269064,"Likely Stressed",-3018.73639088058,"Likely Stressed",-1211.35471778222,"Likely Stressed",-4792.47098068599,"Likely Stressed",-5325.03735631036,"Likely Stressed"
"120","403M01619",34.55945,-119.26634,403,"Ventura","Santa Clara",0.6893958,2021-05-25,2021,1,0.6893958,"Natural",0.79,"Unhealthy Biology",145.647617549117,"Likely Stressed",0.291144272394275,"Unlikely Stressed",11.9470920124989,"Unlikely Stressed",3.78922842157841,"Likely Stressed",7.56377705627704,"Likely Stressed",-3.57447451472525,"Likely Stressed",-40.4951433566434,"Likely Stressed",4.86722314352316,"Unlikely Stressed",66.7811225441226,"Likely Stressed"
"121","403M05832",34.54997,-118.50855,403,"Los Angeles","Santa Clara",0.85937319,2019-06-27,2019,1,0.85937319,"Natural",0.79,"Healthy Biology",84.9055795870796,"Likely Stressed",0.454166999666998,"Unlikely Stressed",26.4214193790826,"Likely Stressed",2.25596734931734,"Likely Stressed",4.6958846986347,"Likely Stressed",-15.3972327186591,"Likely Stressed",-6.79707892107894,"Likely Stressed",95.5570313020311,"Unlikely Stressed",67.9588963369964,"Likely Stressed"
"122","902M20301",33.42381,-117.20464,902,"San Diego","Northern San Diego",0.83320275,2020-06-24,2020,1,0.83320275,"Natural",0.79,"Healthy Biology",178.793103063602,"Likely Stressed",4.57053338328338,"Likely Stressed",-24.2973737660417,"Unlikely Stressed",-0.339565617715619,"Unlikely Stressed",-2.77770096570097,"Likely Stressed",-3006.90222806397,"Likely Stressed",-1285.0480975691,"Likely Stressed",-4832.85276640028,"Likely Stressed",-5282.99998484849,"Likely Stressed"
"123","907M23408",32.76768,-117.16044,907,"San Diego","Mission Bay and San Diego River",0.36103358,2020-06-25,2020,1,0.36103358,"Natural",0.79,"Unhealthy Biology",10.0439558774559,"Likely Stressed",0.375597485847486,"Unlikely Stressed",1.54251369889122,"Unlikely Stressed",1.70013907758908,"Likely Stressed",-7.43286721611724,"Likely Stressed",-1285.9173300407,"Likely Stressed",-367.363979853479,"Likely Stressed",-2658.48850566101,"Likely Stressed",-2548.2416985015,"Likely Stressed"
"124","403M01560",34.23545,-119.21253,403,"Ventura","Santa Clara",0.44703778,2019-05-15,2019,1,0.44703778,"Natural",0.79,"Unhealthy Biology",1198.45730752581,"Likely Stressed",2.85468689643689,"Likely Stressed",-94.7035196462868,"Likely Stressed",21.1765758741259,"Likely Stressed",40.6665815018315,"Likely Stressed",-2650.5921015358,"Likely Stressed",-2289.24841924741,"Likely Stressed",-2913.52288578086,"Likely Stressed",-4996.90519663667,"Likely Stressed"
"125","SMC03304",34.28829,-118.72312,408,"Ventura","Calleguas",0.591619,2011-06-29,2011,1,0.591619,"Hard Bottom",0.79,"Unhealthy Biology",198.886442057942,"Likely Stressed",4.7196108058608,"Likely Stressed",28.6804164009224,"Likely Stressed",2.3796715855573,"Likely Stressed",11.6989975857476,"Likely Stressed",-26.3331222511474,"Likely Stressed",-35.6943488178488,"Likely Stressed",-78.2476626040626,"Likely Stressed",-217.065645687646,"Likely Stressed"
"126","SMC05296",34.55457,-118.77525,403,"Ventura","Santa Clara",0.93834398,2012-06-26,2012,1,0.93834398,"Natural",0.79,"Healthy Biology",84.6126022311023,"Likely Stressed",7.27698426573427,"Likely Stressed",11.2691767543693,"Unlikely Stressed",5.06349380619383,"Likely Stressed",5.57272444222445,"Likely Stressed",-544.883667833179,"Likely Stressed",-359.327943223443,"Likely Stressed",-780.981270396271,"Likely Stressed",7.58910256410232,"Unlikely Stressed"
"127","901M14138",33.57688,-117.63999,901,"Orange","San Juan",0.80679255,2017-06-20,2017,1,0.80679255,"Natural",0.79,"Healthy Biology",99.4104105894104,"Likely Stressed",0.352370712620713,"Unlikely Stressed",11.800584845844,"Unlikely Stressed",0.669204179154179,"Unlikely Stressed",8.82798201798203,"Likely Stressed",-11.0840550570833,"Likely Stressed",-121.866995670996,"Likely Stressed",87.6867765567766,"Unlikely Stressed",470.702294205796,"Likely Stressed"
"128","404M07362",33.8009,-118.38703,404,"Los Angeles","Santa Monica Bay",0.38852855,2017-06-08,2017,1,0.38852855,"Natural",0.79,"Unhealthy Biology",165.694842657343,"Likely Stressed",1.45094413919414,"Unlikely Stressed",26.2643849325692,"Likely Stressed",3.96608929403929,"Likely Stressed",9.72570454545455,"Likely Stressed",6.05855253037307,"Unlikely Stressed",327.684121045622,"Likely Stressed",334.338282384282,"Likely Stressed",437.987385281386,"Likely Stressed"
"129","801M12611",33.80456,-117.86822,801,"Orange","Lower Santa Ana",0.46342111,2015-07-01,2015,1,0.46342111,"Soft Bottom (2)",0.79,"Unhealthy Biology",-1049.80261938062,"Likely Stressed",15.0697981185481,"Likely Stressed",-215.060126034626,"Very Likely Stressed",-89.1573738761239,"Very Likely Stressed",-360.970701215451,"Very Likely Stressed",-44933.6480255651,"Very Likely Stressed",-7943.91201298701,"Very Likely Stressed",-18874.0226619571,"Very Likely Stressed",-19120.433544622,"Very Likely Stressed"
"130","902M18864",33.49207,-117.24653,902,"Riverside","Northern San Diego",1.06967041,2015-05-06,2015,1,1.06967041,"Natural",0.79,"Healthy Biology",137.343605228105,"Likely Stressed",2.55145962370962,"Likely Stressed",26.6726232247025,"Likely Stressed",2.93819327339327,"Likely Stressed",9.47494813519811,"Likely Stressed",7.62346166456067,"Unlikely Stressed",-46.5962695637696,"Likely Stressed",102.120573759574,"Unlikely Stressed",251.848687046287,"Likely Stressed"
"131","903M20177",33.39672,-117.11527,903,"San Diego","Northern San Diego",0.7870264,2017-05-03,2017,2,0.78215159,"Natural",0.79,"Unhealthy Biology",53.3440712620713,"Likely Stressed",1.81591366966367,"Unlikely Stressed",10.7594619554099,"Unlikely Stressed",1.10601083916084,"Unlikely Stressed",2.56548451548451,"Likely Stressed",-6.56261207852522,"Likely Stressed",-92.9104202464202,"Likely Stressed",111.085906693307,"Unlikely Stressed",200.440313320013,"Likely Stressed"
"132","907BCT",32.96654,-116.65211,907,"San Diego","Mission Bay and San Diego River",0.9583806,2014-05-14,2014,1,0.9583806,"Natural",0.79,"Healthy Biology",94.3084054279055,"Likely Stressed",1.46018581418581,"Unlikely Stressed",28.1940492196027,"Likely Stressed",2.89212750582751,"Likely Stressed",13.0078339160839,"Likely Stressed",-114.098291574883,"Likely Stressed",-27.3082684220542,"Likely Stressed",144.998416150516,"Unlikely Stressed",279.301553779553,"Likely Stressed"
"133","SMC02270",33.79573,-117.77241,801,"Orange","Lower Santa Ana",0.63508318,2010-06-30,2010,1,0.63508318,"Hard Bottom",0.79,"Unhealthy Biology",208.707424741925,"Likely Stressed",-2.20567773892774,"Unlikely Stressed",22.3708374502344,"Likely Stressed",-7.65500298035299,"Likely Stressed",6.08990592740592,"Likely Stressed",-320.782822425912,"Likely Stressed",13.0389022644022,"Likely Stressed",-49.3997337995337,"Likely Stressed",153.528803030303,"Likely Stressed"
"134","SMC02284",34.06542,-117.94939,405,"Los Angeles","San Gabriel",0.41568411,2013-05-29,2013,1,0.41568411,"Hard Bottom",0.79,"Unhealthy Biology",77.2304274059275,"Likely Stressed",3.24963078588078,"Likely Stressed",78.6339285098543,"Likely Stressed",-1.32577212787213,"Likely Stressed",12.2596453546453,"Likely Stressed",-153.456059657052,"Likely Stressed",66.0324040959042,"Likely Stressed",-37.4909150849151,"Likely Stressed",-1255.75292673993,"Likely Stressed"
"135","801M16916",33.96417,-117.49156,801,"Riverside","Middle Santa Ana",0.73325394,2016-05-24,2016,1,0.73325394,"Natural",0.79,"Unhealthy Biology",-22.6370414585415,"Likely Stressed",31.3433706293706,"Very Likely Stressed",-38.019617379742,"Unlikely Stressed",-22.3594161005661,"Likely Stressed",-12.0978693687265,"Likely Stressed",-3106.1115735933,"Likely Stressed",-2623.22954229105,"Very Likely Stressed",-8531.46307092908,"Likely Stressed",-11523.6170248085,"Likely Stressed"
"136","909M24969",32.92468,-116.55887,909,"San Diego","Southern San Diego",0.99437135,2020-06-16,2020,1,0.99437135,"Natural",0.79,"Healthy Biology",118.779783716284,"Likely Stressed",0.478220862470863,"Unlikely Stressed",13.0942160578594,"Unlikely Stressed",2.88999780219781,"Likely Stressed",12.6788654678655,"Likely Stressed",-14.069384223352,"Likely Stressed",-7.69732484182486,"Likely Stressed",-23.7894571428571,"Likely Stressed",-27.3034852813852,"Likely Stressed"
"137","SMC01278",33.82099,-118.06645,405,"Los Angeles","San Gabriel",0.37555803,2021-07-15,2021,1,0.37555803,"Hard Bottom",0.79,"Unhealthy Biology",316.162571761572,"Likely Stressed",20.722433982684,"Very Likely Stressed",631.844587658593,"Very Likely Stressed",18.5995767399267,"Likely Stressed",31.3486964701965,"Likely Stressed",-341.301157413784,"Likely Stressed",-68.7247294372293,"Likely Stressed",-797.068981629481,"Likely Stressed",-1708.36135198135,"Likely Stressed"
"138","SMC09534",33.83832,-118.09487,405,"Los Angeles","San Gabriel",0.41038968,2018-07-10,2018,1,0.41038968,"Hard Bottom",0.79,"Unhealthy Biology",-132.915457042957,"Likely Stressed",22.6159293206793,"Very Likely Stressed",375.938941434555,"Very Likely Stressed",-19.9801487512487,"Likely Stressed",-44.0551388611387,"Likely Stressed",-1053.8249808532,"Likely Stressed",-410.214877455878,"Likely Stressed",-2296.03028205128,"Likely Stressed",-3868.55909723609,"Likely Stressed"
"139","903M20124",33.29947,-117.08415,903,"San Diego","Northern San Diego",0.94828747,2015-07-09,2015,2,0.96650029,"Natural",0.79,"Healthy Biology",100.388672161172,"Likely Stressed",1.60885298035298,"Unlikely Stressed",-7.98120859666042,"Unlikely Stressed",1.79950392940393,"Likely Stressed",6.28431626706626,"Likely Stressed",-61.2921189923341,"Likely Stressed",-174.591982184482,"Likely Stressed",-5.83303929403936,"Likely Stressed",-33.3067625707626,"Likely Stressed"
"140","SMC16169",33.74655,-117.59351,801,"Orange","Lower Santa Ana",0.79950826,2015-06-16,2015,1,0.79950826,"Natural",0.79,"Healthy Biology",175.314253413254,"Likely Stressed",1.93788594738595,"Unlikely Stressed",29.1067436038856,"Likely Stressed",6.29059791874792,"Likely Stressed",12.5132022977023,"Likely Stressed",75.8923681594091,"Unlikely Stressed",209.354266067267,"Likely Stressed",596.336573559773,"Likely Stressed",893.35008974359,"Likely Stressed"
"141","403M05758",34.43484,-118.61254,403,"Los Angeles","Santa Clara",0.79569974,2015-06-29,2015,1,0.79569974,"Natural",0.79,"Healthy Biology",6.54566117216116,"Likely Stressed",10.5921439393939,"Likely Stressed",21.958244248666,"Likely Stressed",7.58658418248418,"Likely Stressed",8.29547619047619,"Likely Stressed",-940.439486308818,"Likely Stressed",-327.476374625374,"Likely Stressed",-1746.75397918748,"Likely Stressed",-1591.14196623377,"Likely Stressed"
"142","904M21720",33.15678,-117.28243,904,"San Diego","Central San Diego",0.75104196,2015-06-25,2015,1,0.75104196,"Natural",0.79,"Unhealthy Biology",219.636471694972,"Likely Stressed",1.14451973026973,"Unlikely Stressed",25.5643380291274,"Likely Stressed",7.45559552114552,"Likely Stressed",32.7541889776889,"Likely Stressed",258.429383158089,"Unlikely Stressed",830.495907592405,"Likely Stressed",2058.05134935065,"Likely Stressed",4430.81864831835,"Likely Stressed"
"143","SMC00729",33.13525,-117.17488,904,"San Diego","Central San Diego",0.68295207,2009-06-03,2009,1,0.68295207,"Natural",0.79,"Unhealthy Biology",49.9040004995005,"Likely Stressed",1.05083216783217,"Unlikely Stressed",10.0169658659662,"Unlikely Stressed",0.649261405261406,"Unlikely Stressed",2.81517241092241,"Likely Stressed",0.291883891019668,"Unlikely Stressed",-11.0302923742924,"Likely Stressed",-26.8514113220114,"Likely Stressed",-1.75543290043291,"Likely Stressed"
"144","SMC03737",33.11968,-117.09259,904,"San Diego","Central San Diego",0.52039334,2012-07-06,2012,1,0.52039334,"Hard Bottom",0.79,"Unhealthy Biology",51.5735354645355,"Likely Stressed",0.762981268731267,"Unlikely Stressed",11.5903749964075,"Unlikely Stressed",0.0395921411921416,"Unlikely Stressed",-1.72017757242757,"Likely Stressed",-20.2734216029479,"Likely Stressed",-99.2972569097569,"Likely Stressed",3.1314916083915,"Unlikely Stressed",-115.514917582418,"Likely Stressed"
"145","SMC09564",34.4322,-118.59397,403,"Los Angeles","Santa Clara",0.61535722,2010-06-01,2010,1,0.61535722,"Soft Bottom (0)",0.79,"Unhealthy Biology",1.84807542457547,"Likely Stressed",10.6977474192474,"Likely Stressed",20.1327146497885,"Likely Stressed",7.45385029970029,"Likely Stressed",9.47786305361304,"Likely Stressed",-929.290718763577,"Likely Stressed",-353.971951714952,"Likely Stressed",-1733.51076823177,"Likely Stressed",-1589.59581838162,"Likely Stressed"
"146","SMC11181",33.88882,-117.50296,801,"Riverside","Middle Santa Ana",0.50949656,2011-06-21 14:00:00,2011,1,0.50949656,"Hard Bottom",0.79,"Unhealthy Biology",95.1436396936397,"Likely Stressed",2.49595596070596,"Likely Stressed",47.2665179171535,"Likely Stressed",-1.85258285048285,"Likely Stressed",15.8373964368964,"Likely Stressed",-55.9190197212832,"Likely Stressed",73.4874663669665,"Likely Stressed",-16.9723305028306,"Likely Stressed",-325.481363603064,"Likely Stressed"
"147","403M01580",34.23495,-119.23075,403,"Ventura","Santa Clara",0.54860281,2019-05-15,2019,1,0.54860281,"Natural",0.79,"Unhealthy Biology",1198.45730752581,"Likely Stressed",2.85468689643689,"Likely Stressed",-94.7035196462868,"Likely Stressed",21.1765758741259,"Likely Stressed",40.6665815018315,"Likely Stressed",-2650.5921015358,"Likely Stressed",-2289.24841924741,"Likely Stressed",-2913.52288578086,"Likely Stressed",-4996.90519663667,"Likely Stressed"
"148","906M21790",32.94797,-117.19987,906,"San Diego","Central San Diego",0.72709217,2020-05-11,2020,1,0.72709217,"Natural",0.79,"Unhealthy Biology",181.639783050283,"Likely Stressed",3.18831818181818,"Likely Stressed",32.9514746770428,"Likely Stressed",2.71927011322011,"Likely Stressed",5.37091516816517,"Likely Stressed",-5.94840351257603,"Likely Stressed",-3.62835164835165,"Likely Stressed",-85.3473461538462,"Likely Stressed",-61.3883658341657,"Likely Stressed"
"149","SMC16980",34.43268,-119.24974,402,"Ventura","Ventura",0.99551735,2011-07-06,2011,1,0.99551735,"Natural",0.79,"Healthy Biology",200.807862803863,"Likely Stressed",3.20055311355311,"Likely Stressed",15.237931798756,"Unlikely Stressed",0.735183283383284,"Unlikely Stressed",14.7293677988678,"Likely Stressed",-27.5134335066019,"Likely Stressed",-94.853621045621,"Likely Stressed",59.3842745920746,"Unlikely Stressed",64.7810834165834,"Likely Stressed"
"150","403M05774",34.42692,-118.62067,403,"Los Angeles","Santa Clara",0.79130155,2016-06-22,2016,2,0.76272586,"Natural",0.79,"Unhealthy Biology",6.54566117216116,"Likely Stressed",10.5921439393939,"Likely Stressed",21.958244248666,"Likely Stressed",7.58658418248418,"Likely Stressed",8.29547619047619,"Likely Stressed",-940.439486308818,"Likely Stressed",-327.476374625374,"Likely Stressed",-1746.75397918748,"Likely Stressed",-1591.14196623377,"Likely Stressed"
"151","911TJWIL3",32.69361,-116.69528,911,"San Diego","Southern San Diego",1.1842725,2019-05-07,2019,1,1.1842725,"Natural",0.79,"Healthy Biology",45.0956112221113,"Likely Stressed",1.41285797535797,"Unlikely Stressed",7.72496705829306,"Unlikely Stressed",1.51422197802198,"Likely Stressed",5.16954811854813,"Likely Stressed",-13.0930179809324,"Likely Stressed",-107.236503496503,"Likely Stressed",0.379966333666258,"Unlikely Stressed",19.8215393273394,"Unlikely Stressed"
"152","SMC00693",33.2964,-117.08556,903,"San Diego","Northern San Diego",0.87183844,2010-05-31,2010,1,0.87183844,"Natural",0.79,"Healthy Biology",100.388672161172,"Likely Stressed",1.60885298035298,"Unlikely Stressed",-7.98120859666042,"Unlikely Stressed",1.79950392940393,"Likely Stressed",6.28431626706626,"Likely Stressed",-61.2921189923341,"Likely Stressed",-174.591982184482,"Likely Stressed",-5.83303929403936,"Likely Stressed",-33.3067625707626,"Likely Stressed"
"153","SMC02228",34.06933,-118.22427,412,"Los Angeles","Los Angeles",0.57329829,2009-06-23,2009,1,0.57329829,"Hard Bottom",0.79,"Unhealthy Biology",285.568251748252,"Likely Stressed",22.7544548784549,"Very Likely Stressed",128.051816846723,"Likely Stressed",-2.58751673326673,"Likely Stressed",-15.052140942391,"Likely Stressed",-4069.38439241382,"Likely Stressed",-631.680372127872,"Likely Stressed",-3023.73148618048,"Likely Stressed",-6878.42411621711,"Likely Stressed"
"154","SMC01990",32.79653,-117.11327,907,"San Diego","Mission Bay and San Diego River",0.65620694,2014-07-08,2014,1,0.65620694,"Soft Bottom (0)",0.79,"Unhealthy Biology",201.131408924409,"Likely Stressed",2.86592740592741,"Likely Stressed",66.2343443013064,"Likely Stressed",8.99373974358974,"Likely Stressed",12.8068918581419,"Likely Stressed",92.2153573740803,"Unlikely Stressed",564.584732434234,"Likely Stressed",610.083173260073,"Likely Stressed",213.504685880786,"Likely Stressed"
"155","SMC02644",34.18157,-118.88652,408,"Ventura","Calleguas",0.59386304,2011-06-30,2011,1,0.59386304,"Soft Bottom (0)",0.79,"Unhealthy Biology",459.130495837496,"Likely Stressed",13.0263887778888,"Likely Stressed",50.7318345316734,"Likely Stressed",18.7987036963037,"Likely Stressed",65.5522647352648,"Likely Stressed",439.77364059947,"Unlikely Stressed",546.226390609391,"Likely Stressed",3685.86714645354,"Likely Stressed",3779.56752747253,"Likely Stressed"
"156","SMC06714",32.67579,-117.00604,909,"San Diego","Southern San Diego",0.60480512,2010-06-06,2010,1,0.60480512,"Natural",0.79,"Unhealthy Biology",303.193459207459,"Likely Stressed",6.93350782550783,"Likely Stressed",35.5194352035584,"Likely Stressed",8.25131491841491,"Likely Stressed",13.1529274891775,"Likely Stressed",85.514111540836,"Unlikely Stressed",436.83016983017,"Likely Stressed",653.43631898102,"Likely Stressed",812.720283716284,"Likely Stressed"
"157","SMC00446",34.02018,-118.04627,405,"Los Angeles","San Gabriel",0.47742784,2010-07-01,2010,1,0.47742784,"Soft Bottom (0)",0.79,"Unhealthy Biology",437.967840992341,"Likely Stressed",2.21719355644356,"Likely Stressed",71.9086770526268,"Likely Stressed",19.0467080419581,"Likely Stressed",67.3026402763904,"Likely Stressed",186.416482962162,"Unlikely Stressed",943.417759906759,"Likely Stressed",1876.85563103563,"Likely Stressed",3210.13351881452,"Likely Stressed"
"158","SMC00958",33.82532,-117.99894,845,"Orange","San Gabriel",0.25463411,2011-07-19,2011,1,0.25463411,"Soft Bottom (2)",0.79,"Unhealthy Biology",147.838655677656,"Likely Stressed",25.9769900099901,"Very Likely Stressed",922.379310909524,"Very Likely Stressed",20.1673696636697,"Likely Stressed",26.8487189477189,"Likely Stressed",-2729.70348811823,"Likely Stressed",45.9622788877789,"Likely Stressed",40.450492007992,"Unlikely Stressed",-3400.96546421198,"Likely Stressed"
"159","402M00090",34.4462,-119.29046,402,"Ventura","Ventura",0.90842106,2020-06-04,2020,1,0.90842106,"Natural",0.79,"Healthy Biology",93.6339763569764,"Likely Stressed",0.919002830502831,"Unlikely Stressed",16.7650335853614,"Unlikely Stressed",0.896279037629036,"Unlikely Stressed",10.7187088744588,"Likely Stressed",-62.7139654076595,"Likely Stressed",-139.990106393606,"Likely Stressed",78.7620505494507,"Unlikely Stressed",9.04074878454885,"Unlikely Stressed"
"160","402M00130",34.30178,-119.30314,402,"Ventura","Ventura",0.88723256,2020-06-18,2020,1,0.88723256,"Natural",0.79,"Healthy Biology",44.9150184815187,"Likely Stressed",8.2877241092241,"Likely Stressed",16.7464124992002,"Unlikely Stressed",-2.150888994339,"Likely Stressed",-3.70754945054946,"Likely Stressed",-511.676455920292,"Likely Stressed",-1593.0468969364,"Likely Stressed",-1617.02734942835,"Likely Stressed",-372.519646187147,"Likely Stressed"
"161","905M21791",33.12278,-116.78727,905,"San Diego","Central San Diego",0.75737313,2020-05-27,2020,1,0.75737313,"Natural",0.79,"Unhealthy Biology",47.5616716616717,"Likely Stressed",1.53959998334999,"Unlikely Stressed",2.66261981605973,"Unlikely Stressed",-0.759047402597402,"Likely Stressed",-4.99546495171495,"Likely Stressed",-121.232266728982,"Likely Stressed",-164.164258075258,"Likely Stressed",-171.977207326007,"Likely Stressed",-513.503362337661,"Likely Stressed"
"162","SMC01413",33.30552,-116.80627,903,"San Diego","Northern San Diego",0.8784077,2012-07-09,2012,1,0.8784077,"Natural",0.79,"Healthy Biology",256.471845654345,"Likely Stressed",2.29352122877123,"Likely Stressed",18.2727295971411,"Likely Stressed",2.2776376956377,"Likely Stressed",14.0005039127539,"Likely Stressed",168.018355936371,"Unlikely Stressed",94.8342266067267,"Likely Stressed",447.876364269065,"Likely Stressed",1105.8568036963,"Likely Stressed"
"163","SMC04383",34.50224,-119.35602,402,"Ventura","Ventura",0.80194072,2014-05-19,2014,1,0.80194072,"Natural",0.79,"Healthy Biology",143.649482184482,"Likely Stressed",1.26742932067932,"Unlikely Stressed",31.847770232065,"Likely Stressed",5.76621048951049,"Likely Stressed",3.00448776223776,"Likely Stressed",-10.0467327170367,"Likely Stressed",-78.1159640359639,"Likely Stressed",130.278863569764,"Unlikely Stressed",251.642449217449,"Likely Stressed"
"164","SMC07126",32.84359,-117.03457,907,"San Diego","Mission Bay and San Diego River",0.33340554,2012-07-12,2012,1,0.33340554,"Natural",0.79,"Unhealthy Biology",-25.0141067266067,"Likely Stressed",0.86115659340659,"Unlikely Stressed",-4.41471139599554,"Unlikely Stressed",0.500664385614385,"Unlikely Stressed",-7.09244680319678,"Likely Stressed",-888.492188846705,"Likely Stressed",-367.773214452215,"Likely Stressed",-2552.00684665335,"Likely Stressed",-3036.41655088245,"Likely Stressed"
"165","SMC01151",34.3723,-118.97196,403,"Ventura","Santa Clara",0.53843942,2009-06-17,2009,1,0.53843942,"Natural",0.79,"Unhealthy Biology",893.085983016984,"Likely Stressed",22.968433982684,"Very Likely Stressed",63.7983943720218,"Likely Stressed",-67.4636027472528,"Very Likely Stressed",2.28749184149186,"Likely Stressed",-2590.06225401111,"Likely Stressed",-2652.34209407259,"Very Likely Stressed",-4257.39490825838,"Likely Stressed",-6782.70948051946,"Likely Stressed"
